document	label
 흰끼가 도는 핑크입니다 ㅎㅎ 하지만 차분하게 톤다운된 색상라서 그런지 가을 겨울에 분위기 있게 핑크가 바르고 싶다면 추천 합니다 ㅎㅎ	1
 올리브영 가서 사려다가 저렴하길래 주문했어요. 색상 짱짱하고 오래가고 맘에 들어요 많이 파세요	1
색깔 너무 이쁘고 배송 빨랐습니다ㅎㅎ	1
바르는 게 좀 불편하지만 지속력 맘에 드네요	1
 품절대란 색상 보기에는 쨍하고 쿨톤처럼 보이나 발라보면 꼭 그렇지는 않다. 벨벳 라인은 발림 마음에 든다.	1
색감 정말 예뻐요 건조한 감이 없지 않아 있지만 립밤 바르고 바르면 그러데이션도 잘 돼요	1
가성비 대비해서 좋고 색상 예쁘고 잘 안 지워짐 배송도 빠르고 전화도 오네요 좋아요 연말로 사면 좋을 듯	1
너무 맘에 들어요 매트하지만 촉촉한 수분 느껴지네 오. 만족 만족	1
좀 건조해요. 지워지기도 하고요. 겨울엔 좀 아닌 거 같아요. 제형 좀 바르기 힘들고요	0
마른 장미색이라서 요즘 바르기 딱 좋은 색상 이예요 바르는 순간 차분하면서 가을 가을 해요 너무 마음에 들어요	1
다른 화장품 가게 갔는데. 가게 언니가 립 색 너무 예쁘다고 어디 거냐고 물어봤어요 ㅋ. 발색 최고	1
색감 너무 이뻐요...	1
 색상 좋아요 냄 아이섀도 괜찮던데..	1
 색상 이쁘고요 발림성도 좋아요 쪼금만 발라서 문질 문질 해야 될 거 같아요 ㅋㅋ	1
 촉촉하지는 않지만 색상 마음에 들어요	1
쨩좋음 왕편함 지하철이랑 버스랑 막 다나오고 길도 막찾아주고 로드뷰도 막되고 아무튼 막 짱짱좋음	1
 발색잘됨매 우 좋 음 각질 부각은 좀 있음ㅋ매 트 하 네 어쩔 수 없음 ㅋ	0
다른 색상 구매하고 싶어요 넘나 이뻐서	1
 저렴한 가격 품질도 괜찮아요	1
기존에 물 틴트 형체보다 훨씬 좋은거같아요ㅋㅋ 발색 좋고 색상 역시나 예뻐요. 웜톤 피부가 아주 그냥 환해지네요.	1
무광이라 일단 맘에 들고요. 발색 뛰어나 네오.. 가격도 너무 착하고 데일리로 사용하기 너무 딱이네 오.. 누가 구매하더라도 절대 후회하지 않을듯싶어요	1
내 스타일 완전 맘에 듦 색상 정말 맘에 드는데 진심 너무 묽고 쓰기 불편함 너무무름..갠춘한데 케이스 너무 싼 티 남	1
 케이스는 살짝 흠집 잘 나는 재질 같지만 립 발색 만족스러워요 오래 지속되고요 가격대비 몹시 만족이요	1
발림 정말 촉촉한 듯 요 예뻐요	1
 수분이기 많은 립스틱이 싫어 가격 저렴하고 해서 구입해봤는데 너무 맘에 드네요 색깔도 진짜 품질명처럼 매혹적이고ㅎ	1
누가 싼 게 비지떡이라고 했나요 이거 감동이네 오 품질별 이름도 너무 최고 색상마다 느낌이 아주 굿입니다	1
너무 색상 이쁘고 좋아요	1
 재구매의 사있어요 약간 건조하지만 문질러 바르면 되고 립스틱이 원래 그런 거니까 ㅋㅋ지적 감성적 색상 비슷하지만 느낌은 달라요	1
마음에 듭니다. 배송도 빠르고 좋은 것 같아요. 앞으로도 좋은 색상 많이 예쁘게 만들어주세요.	1
그냐 뮈 쓸만한 정도 고 막 이쁘고 그런 건 아니에요 시간이 좀 지나면 자주 색상 바뀜니다요	0
딱 제가 원하는 색깔과 발색 지녔습니다 그리고 약간 건조하긴 한데 입술이 진짜 깨끗해 보여요	1
지인들과 교류가 딱히 없어도 지인들의 페이스북 업로드로 어떻게 지내는지 볼수 있는 장점이 있는것 같다	1
발림도 색상 가격도 착하고 좋아서 4가지 색상 샀어요. 아쉬운 점은 핑크빛이 도는 색상 종류가 좀 더 많았으면 좋겠어요	1
 색상 진짜 이뻐요 하나쯤은 꼭 있어야 할 색상랄까..ㅋㅋ 강추 합니다 마음에 들어요	1
네이버 지도는 최고다 이거 없이는 어디를 갈 수가 없다 근데 음식점이 폐업한 곳이 많아서 헛걸음을 한 적이 많다 	1
색감 최고예요. 케이스의 색감 이쁘고 립스틱 색도 버건디립 스틱의 정석인 색감이요 약간 자줏빛이 조금 나서 더 매력적인 색깔 같습니다	1
 지속력은 아직 모르겠는데 발색 최고예요	1
두 개 샀는데 색상 예쁘고 발색 좋아요	1
부드럽기 때문에 입술에서 잘 밀리고 각질부각 조금 있어요. 색상은 형광이 좀 돕니다. 착색이 잘 되는 편이예여	0
 배송이 오래 걸렸어요. 품질은 괜찮은데 용기 너무 없어 죄 네오. ㅎㅎ 되게 작아서 귀엽긴 해요 ㅎㅎ	0
근데 각각의 색상이 생각보다 연하 네오 그래서 섞어발랐더니 제가 원하는 발색 나와서 기쁩니다	1
 저렴하게 구입했어요 배송 빨랐고요 마음에 들어요 예쁜 색상 립스틱이에요 요즘 이런 색이 마음에 드네요	1
 색상 이쁘고 발색 좋아요 만족합니다	1
너무 착한 가격 세개나... 너무 좋네요 매트 하긴 한데 색은 정말 예뻐요 같이 준 립펜슬도 부드럽게 너무 잘 발려요	1
두 가지 색상 받아 딸이랑 나누어 사용하게 되어 더 좋네요. 립스틱 색상 위 뼈 얼굴이 화사해졌어요.	1
 색상이 예쁜 듯 안 예쁜 듯.. 그러데이션 생각보다 쉽지 않고 입술각질 조금 뜨는 편이에요 썩 좋지는 않네요	0
 재구매입니다 색상 다른 품질들보다 예쁜 레드가 많아서 너무 좋네요 가격도 저렴하게 잘 사서 너무 좋아요	1
 색상 실 제로 제 입술에 바르니 전혀 느낌 안 살아서 속상	0
사실 장난감 같은 퀄리티 티지만 색상 또 엄청 예쁩니다..ㅎㅎ	1
산뜻한 색상 좋아요	1
생각했던 것보다 발림성 색이 별로였어요 사진보다 색상 더 연한 거 같네요	0
 지속력이나 발색 두말할 것 없이 좋아요 배송도 매우 빨랐고 낼부터 바르고 출근하려고요..	1
시간대에 따른 막차 첫차 정보를 알 수있어서 좋다 특히 지하철 최단거리최소환승에 대한 정보을 알 수있는 점이 장점인것같다	1
근데 리페라 틴트 하면 워낙 유명하죠. 사실 색상보다는 지속력 좋아서 구매하였습니다. 많이 파세요	1
새로운 색이 나왔다길래 얼른 질렀네 오. 배송 빠르고요 색 예뻐요	1
매트한 느낌이 있지만 지속력도 발색도 가격대비 만족입니다. 하지만 건조한 거 싫어하신다면 비추에요	1
 색상도 이쁘다 배송 빨라 좋아요 매트한 립스틱인 건 알았는데 입술주름 부각되니 립밤 좀 바르고 각질정리 잘하고 발라야 할거 같아요 다른 색도 구매하고 싶어요	1
너무 맘에 드네요 ㅎㅎ좀 매트하긴 라지만 발색 좋고 색상이 너무 예뻐요 강추 합니다	1
너무 흰끼 돌아서 토인이 되기 쉬워요	0
 색상 생각보다 많이 어두워요.. 기대를 너무 많이 한 듯.. 딱 가격만큼 이에요	0
 케이스도 굉장히 예쁘네 오 배송도 빠르고요 색상 예쁩니다 제가 실수로 같은 립스틱을 2개나 시켜 속상했지만요 맘에 들어요	1
계속 고민하다가샀데 가격대비 만족해요	1
생각보다 색상 조금씩 차이가 있고 클렌징이 제대로 안돼서 아쉽다	0
 색상 예쁜데 잘 안 지워져요.	1
장점  스마트폰 사용자 중 쓰지않는 사람이 거의 없을 정도로 많이 사용하고 있다 따라서 일일이 전화번호를 묻지 않아도 톡방 이나 혹은 카카오아이디를 통해서 쉽게 접근하고 연락가능하다   단점  보안문제  프라이버시가 어디로 유출될 지 알 수가 없다 	1
감각 적고 성공적 이름대로 풀리면 좋겠다는 것도 기분 좋고 가격도 너무 착해서 얼른 샀지요 색상 이뻐요	1
잉크 튜드 구매하고 싶어서 기다렸는 대실망했어요ㅠㅠㅠ바이올렛레드같은 색상 이예요.. ㅠ 흑.. 어두운데 쩅한 색상이라 신기하긴 하네요.. ㅠ	0
시럽은 멤버쉽 카드결제를 편리하게 사용할수있다는 장점있고 카드를 직접 가지고 안가도 된다는 편리함이 있다고 생각합니다	1
 저렴한 가격 좋은 품질 빠른 배송으로 받을 수 있어서 너무 만족합니다. 품질은 안내된 그대로이며 좋습니다	1
 색상 사진과 좀 다르지만 잘 쓸게요	0
 색상도 그렇고 발림성도 그렇고 최고예요 ㅋㅋㅋ 특히 이 가격에 이런 품질 추천 적극 추천 합니다 ㅋㅋㅋ 색상이 제일 마음에 듭니다ㅋ	1
싸게 샀는데 ...색상 그렇다 치고 잘 번져요 엄청 건조하고 싼맛에 그냥 색상 느낌만 만족합니다	0
색은 좋은데 매트한 제형이라 각질 조금 부각됩니다.	0
바르는 느낌도 좋고 향도 좋고 ㅋㅋㅋ 지속력도 좋아서 두 개 구입해요 색상 얼굴도 환해 보이고 좋네요	1
금요일 오후에 시켰는데 월요일 오전에 바로 왔어요 배송은 빨라서 만족스러웠어요 품질 자체는 발색 예쁘고 지속력 좋아서 진짜 잘 쓰고 있어요	1
바르기 좋아요 지속력은 아주 강하진 않지만 은은히 청순미와 선명함을 주고 싶을 때 좋답니다 가격 착해서 부담 없고요	1
레드 립스틱을 몇 개 가지고 있는데 삐아 레드 립스틱 색상은 또 다르네 오. 매트하다고 했는데 발림 좋고 발색도 좋고 가격도 착하고 마음에 들어요.	1
매트하지만 색상 괜찮아요	1
색감 착색 다 좋아요	1
색깔 너무 이뻐요 ㅎㅎ 가을에 잘 어울리는 색깔이네 오 발림 좋고 지속력은 보통이에요	1
음.. 발색 좋은 것도 모르겠고 입술각질만 껴요 그냥 진짜 싼맛에 쓰는 것이구나 싶은데 쓰고 싶지 않아요.	0
 페리페라 틴트는 처음 사봤는데 색도 예쁘고 지속력도 오래가서 좋네요 배송 빨리 와서 만족스러워요	1
 세미매트 한 질감이라 지속력 만족합니다	1
마음에들어요ㅎㅎ 색상 땜에 무지 고민했는데 긍정적 매혹적 둘 다 너무 맘에 듭니다	1
두 가지 샀는데 다 맘에 들어요 발림 좋고 색도 이쁘고 지속력도 나쁘지 않아요 더 싸게 팔길래 두 가지 더 시켰어요 화장도 잘 안 하는데ㅋ	1
딱 생각하던 색상 아주 맘에 들어요	1
명품 립스틱 저리 가라 예여 색상 짱예쁨	1
내가 찾던 그 색상임 오오오 너무 안 튀고 좋아요	1
 틴트로 이런 색감 나올 수 있다니 감동 ㅜㅜ	1
색감 질감 백화점 화장품에 안 뒤처져서 놀랬어요 정말 좋아요	1
 저렴한데 색상 예뻐요 착색 잘 되네 오	1
봄에 딱 어울리는 색상 이네요 야리야리한 게 천생 여자 맞네요	1
각질나서 틴트 좀 고민했는데 조금 각질 두드러지지만 색상나 발색 또 크리미한 느낌이 좋으니 오	0
 저렴한 가격 구입해보았네 오	1
 색상 예쁘고 지속력 최고입니다	1
매혹적 색상 매혹적이네요 ㅎ 예쁨 ㅎㅎ 외출용으로 딱이네 오 ㅎ 마음에 들어요 많이 파시고 대박 나세요	1
색 조녜입니다 백화점 립스틱 갈 필요가 없어요 깔 별로 쟁여야 합니다 이 가격 .. 개 개꿀이득 ㅎㅎ	1
 지속력 좋고 많이 건조하지 않아서 좋네요	1
들어요 가을웜톤인데 7 8번 구입했어요 너무 누드톤 이면 안 어울릴 것 같아서 조금 붉은기 도는 색상 했너니 잘 어울려요	1
발림도 좋고 가격대비 정말 좋아요	1
색은 예쁜데 건조한 입술에는 각질부각 좀 많이 되는 것 같아요 ㅠ.ㅠ 색상은 이쁩니다 ㅎㅎ	0
 색상이 진한듯하지만 버건디 코트 입을 때 포인트로 하려고 샀어요 빠른 배송도 품질 마음에 들어요	1
 기승전핑크 착색 좀 피했나 했더니 뭐 핑크로 변하는 건 어쩔 수 없나 보네 오 좀 흰 기 돌아서 그렇긴 한데 착색되고 착색된 색상 밑에 비치면서 좀 나아짐	0
부 드 러 워 용.. 그리고 색도 이쁘고 발색 잘 되고 근데 충분히 말려주세요	1
제가 맨 처음 사용한 핸드폰인 갤 서부터 신세를 지고 있는 고마운 어플입니다 도 깔끔하고 쓸만 합니다	1
누드 색상 베이스로 쓰기에 정말 좋아요	1
2 5 7 샀는데 그나마 5호가 덜 쨍한 색상이에요 뽀송뽀송 하고 지속력은 좋은데 색이 너무 에러임	1
두 번째 구매해요 배송 빨라요	1
두 개다 구매했는데 두 개다 만족 발색 너무 이쁘고 물 마셔도 잘 지워지지도 않고 향도 좋아요 ㅠ	1
필름이 여러개여서 맘에드나 그냥 카메라보다는 화질이 훨씬떨어져서 그게 좀 아쉽다 그래도 사진이 잘나와서 자주이용한다	1
강렬한 색상 이네요 ㅎㅎ 여름쿨톤이에요 무난하게 어울리고 지속력 좋아요	1
색깔 진짜 이쁘고 .. 발색 이나 립에 올릴 때 정말 부드러움. 발라본 그 어느 립스틱보다 좋은 듯	1
적립금을 모으긴 힘들지만 틈틈히 모아서 모은 돈을 출금하는 재미가 있다 좋은 앱인거 같다	1
 저렴한 가격 이쁘고 좋은 발색. 원하던 버건디색상이에요. 잃어버렸는데 또 사용하고 싶어서 다시 구매했어요	1
미모낭낭 샀는데 차분하면서도 이븐 색상 같아요ㅎㅎㅎ마음에 들어요 저는 시선 루팡이랑 같이 쓰는데 이뻐요	1
 색상도 진짜 이쁘고 배송 진짜 빠르고 ㅎ 사은품도 좋아요 저렴한 가격에 사구 싶은 색 다 사볼 수 있어 소 넘좋네오	1
매트한데 각질부각 별로 안되고 색상 너무 예뻐요	1
 발색 12호는 사람마다 다르게 나오는 것 같아요 색이 생각보다 형광이 있네요	0
 배송 빨라요 색상의 자주 색에 가깝네 오 핫핑크 쪽인 줄 알았는데 화면과 약간 다른 느낌이에요	0
매트하긴 한데 색상 이뻐요	1
5호랑 7호 사세여 5호는 꾸밀 때 바르고 7호는 운동복 입고 바르면 개조녜 인생립이에요 각질부각 전혀 없음 그냥 사세요	1
들었을 때 케이스가 가벼워서 놀랐어요 ㅎ 입술색상 처럼 자연스럽고 발림성도 좋고 답답하지 않고 가벼워요. 묻어나긴 하지만 입술에 색상 자연스럽게 남아있어 좋네요	1
바르고 시간이 조금 지나면 밝은 핑크색상 남아있어서 처음 바른 색상은 전혀 다른 색상 변해요	0
매일 신규앨범의 음악을 들을 수 있어 언제 어디서나 편하게 음악을 들을 수 있는 반면 비용이 조금 비싸다는게 흠인거 같다	1
 색상도 너무 이쁘고 매트한 느낌도 좋아요 배송 진짜 빠르네 오	1
색 진짜 존예 고요 몽상적이 더 뭔가 돌체비타 같을 줄 알았는데 지적이 더 그런 거 같아요 질감도 괜찮고 각질부각 살짝 되지만 그래도 색 자체가 이쁘고 해서 커버 가능이요	0
 색상 완전 가을 가을 해요 버건디 느낌 가격도 착하고 너무 맘에 속 들어요 삐아 개안은 것 같아요	1
두 가지 품질 9900원에 아주 저렴하게 구매했고 배송 하루 만에 왔어요 색상는 사진이랑 동일하고 매트한 질감인데 들뜸 없이 부드럽게 발리 네오	1
 발색은 참 좋은데 수분 전혀 없어요 색이 이뻐서 구매했고요 배송 진짜 빨랐어요 근데 확실히 모델 입술에 발라놓은 게 정말 이쁘네 오 ㅋㅋ	0
보이는 그대로 색상 예뻐요	1
베스트 색상 구입해 봤네요. 쨍하니 색상 도는 오렌지라 얼굴 환해 보이고 예뻐요. 지속력 최고 네오.	1
다음지도를 쓰기전에는 썼었지만 따로 있는게 귀찮아 정리하면서 더이상 쓰지 않는다      	1
늘 쓰던 건데 저렴하게 구매해서 좋네요 색상 참 이쁩니다 얼굴도 환해 보이고 잘 지워지지도 않고요	1
색깔 마음에 들어요 주황색 다홍 근데 좀 건조 ㅜㅜ 립밤 발라야 해요	0
4호 지적 두 번째 구매에요 색깔 너무 이쁘고 매트한데 부드럽게 발려서 짱 무엇보다 매우 매우 저렴하고ㅎㅎ 배송 무난해요. 스 카이 공공칠 좋아요 ㅎ_ㅎ	1
 파우더 리 하게 돼서 좋아요ㅎ 발색 짱	1
기본적인 발림 발색 유지는 좋고요 색감은 화사한 이쁜 레드 피부가 하얀 분들에게 더 이쁠 듯요	1
 발색 좋은데 시간이 흐르면 분홍색이 되네요	0
 색상 이쁘고 발림성도 좋네요 매트한데도 생각만큼은 아니네 오 비교하자면 맥보다는 촉촉해요 가격대비 좋습니다	1
만족합니다 색상 예뻐요 근데 각질부각 좀 심한 것 같아요 입술관리 잘하고 발라야 합니다 ...	0
 색상가 색상 상구요 완전 지속력 짱입니다 코랄 메이크업 하고 싶다면 바로 14호 고민 말고 구매	1
초행길일때 대중교통 자동차 자전거 도보 등 여러가지 방법으로 알려주니 아주 유용하게 사용할 수 있으며 주변의 건물까지 찾을수있어 편리하고 꼭 다운받아둬야할 앱이라고 생각함 	1
네이버 웹툰에 비해서 투박하지만 미생 같은 대작이 탄생하는 곳 개인적으로 작품들의 깊이는 네이버 보다 높다고 생각	1
모임 앱 중에 가장 보편적으로 많이 쓰이는 것 같음 사용빈도가 낮아 단점을 딱히 집을 것이 없다 	1
 페리페라 틴트 꽤 많은데 요번에 사은품 으로 없는 색상을 받게 돼서 더 좋았아요 ㅋㅋㅋ 늘 믿고 쓰는 품질들이에요 ㅎㅎ	1
매장에서 사는 것보다 저렴해요 화면하고 색상 조금 다르네 오. 전 얼굴이 노란 편이여서 오렌지색 상인 줄 알았으면 구매의사가 없었을 텐데	0
색 마음에 들어요 택배는 추적이 안되고 느리게 왔지만 가격 색이 괜찮네 오	1
색깔은 이쁘나 건조 합니다 싸게 사서 그나마 위안 삼고 있습니다 오래가긴 한 네오 많이 파세요	0
 저렴하게 잘 산 거 같아요 색상 이뻐요	1
 색상 원래 베스트 색상 이어서 괜찮고 배송도 빨랐음 디	1
 색상 아주아주 이뻐요. 계속 품절인 이유를 알겠네 오ㅎ	1
사람마다 발색 달라서 다른 분들 후기와는 조금 다르지만 그래도 매우 만족합니다 너무 예뻐요	1
제가 입술보호제를 항상 발라서 그런지 지속력 심궁보다 약했어요. 그래도 색상이 예뻐서.. 평생 탬... 광택 있는 거보다 이뻐요. 제 입에는.	0
노란 톤 피부에는 그냥저냥 발색 색상 이뻐요 감성적은 가을에 바르면 이쁠 거 같아요	1
 색상은 좋으나 금방 입술이 말라서 각질 생기 네오	0
참 좋은 어플이다 다른 유해프로그램 차단어플보다 나름 성능도 좋고 괜찮은 기본어플중에 하나이다	1
 심쿵유발 샀는데 자몽 자몽하니 원하던 색상 만족 배송비까지 해서 7천 후반이면 가격도 저렴한 듯	1
넘넘 좋아요 담에 또 구매할래요 배송 정말 빠름	1
 색상 이쁘고 지속력 좋은데 좀 입술이 건조 해지 네오. .	1
넘넘 색상 이쁘고 좋아요	1
영화매니아들에게 필수앱 예매하기도 편리한 시스템 개봉일이 디데이로표시되어 좋음         	1
각질이 그나마 덜 부각되어 보여요. 발색 좋아요	1
부드럽고 매끈하게 잘 발리고 지속력 다 좋네요	1
바른 듯 안 바른 듯 괜찮아요 가격대비 좋네요	1
바르고 커피를 몇 번 마셔도 색상 잘 없어지지 않아서 좋아요. 가성비 최고 그렇지만 각질부각이 돼요	1
색도 이쁘고 정말 좋아요ㅎㅎ 품절대란이랑 심쿵유발 샀는데 개인적으로 심쿵유발이 더 좋아요 아쉬운 점은 둘 다 착색 	0
 외모성수기 구매했는데 색깔 이뻐요 ㅎㅎ매트하긴하지만 색상이 너무 예뻐서 만족해요 잘 쓰겠습니다 배송 빠르고 좋아요	1
7호 아련폭발5호 잉크 튜드 말린장미색들로 다가오는 가을 준비하세요 발색과 지속력 가격가 지 너무 착해요	1
다른 카메라 어플과 크게 다른 점이 없다 무음으로 찍히는 것이 좋고 필터도 다양해서 좋다 분할 컷이 된다는 점도 좋다	1
색감 너무 이쁘고 한번 발색 이랑 3번 발색 같아요 근대 감각적은 주황색 빛 오렌지가 아니라 색상이 많이 도는 오렌지 네오	1
색깔 너무 이쁘고 지속력 최고예요ㅋㅋ 가격 만족 또 구매할 거에ㅇ	1
스마트폰 정액제를 쓰고 있는 사용자에게 정액제의 한도에 알맞게 쓰게하는 유용한 앱이라고 생각함	1
색감은 이쁘지만 발색 별로... 각질부각도 심하고.. 재구매 의사는 없네요.. 싼맛에 샀지만 그래도 돈은 좀 아깝네 오	0
매트한데 반해 너무 답답하지 않고 발림 좋고 잘 지워지지도 않네요. 엄마는 고혹적 나는 지적 색감이 딱입니다.	1
색 이뻐요 배송 빨리 오고 두 번째 사진은 밑에 거예요	1
 색상 여러 가지 주문했는데 넘어 이뻐요 발림성 굿 ㅜㅜ친절하셔서 너무 좋아 요다음에도 요기서 구매할래요	1
 지속력 길고 좋아요	1
아침에 일어나서 항상 네이트 뉴스를 먼저 본다 랭킹 눌러서 보면 쫘르륵 최신 기사가 나오니까 보기 편한것 같다	1
각 질고 주름이 많은 입술이라ㅠ 원래 이런 제형은 안 좋아하지만 부들부들 하고 색상 넘나이쁩니다	1
 페리페라 착색 심하다 해서 고민했었는데 그냥 저만의 착각이었네 오ㅋㅋ하나같이 색깔이 다예뿜ㅠㅠ7개산거 후회 안돼요	0
네 개나 구입했지만 자꾸 다른 색상들도 사고 싶어집니다 또 세일할 때 더 사놓을까 하는 마음도. .오랜만에 마음에 드는 품질을 사게 되어서 만족스럽네요	1
사은품도 주고 신상을 저렴한 가격 구매하여 좋습니다. 다음에도 이용하려고요 하이모 홍예 에스	1
만 원으로 립품질이 세 개나 생겼네 오 가격이 저렴해서 기대를 많이 하진 않았는데 매트한 립스틱이나 발림이 좋고 발색 좋아요.	1
 색상 이뻐요 다 쓰면 재구매의 사 있어요 색상 이뻐요 다 쓰면 재구매의 사 있어요	1
