ratings	document	label
2	예전에는 친구들 가족들과 가끔씩 했었는데 요즘에는 잘 하지 않아서 삭제하였다 재밌는 편	0
4	여전히 대한민국에서 가장 많이 사용하고 있는 어플 이기는 하나 최근들어 돈벌이에만 급급하지 않나 라는 생각이 자주 듭니다	1
5	일반 사진보다 화질이 좋고 특수화질을 이용하여 사진에 느낌을 살릴수 있다는 장점이 있다 	1
4	기본 문자에 비해서 깔끔하고 세련된 디자인이 마음에 들고 보이스톡이나 이모티콘 같이 편리하게 사용할 수 있는 기능도 좋은 것 같다	1
4	지하철 앱을 쓰면 최단 거리를 알 수 있어서 좋고 환승을 할 때 어디 출입문에 있으면 좋은지 알려줘서 좋다	1
4	생각 보다 네이버에서 괜찮은 앱을 냈음 하지만 이상한 밴드들이 많이 생기고 카페 자체 팀킬함	1
4	웹툰 마니아들에게는 하루에 한번이상은 꼭 열어보게 되는 앱 한가지 부족한 점은 회차를 찾을 수 있는 기능이 없어서 좀 아쉽다	1
5	카카오톡은 스마트폰유저라면 필수로있는 어플리케이션 인거 같다  없으면 연락이 쉽지 않을 것 같다	1
4	사람들이 제일 많이 사용하는 메신저라서 사용하고있다 인터페이스나 사용방법 등이 어렵지 않고 사용하기 편리하다 최근에 광고가 많아진 것 같아서 가끔 불편하기도	1
4	단순한 시스템으로 본인의 어필을 극대화 시킬 수 있음 하지만 사생활 노출에 위험을 두고 있음	1
1	가끔 이 앱 때문에 렉먹음 속도 속터짐 불필요하고 번거롭다는 생각 절차의 개선이 요구됨	0
5	출발점에서 도착점까지 버스환승하는 정류소 번호 등이 자세히 나오고 길을 쉽게 찾을수있게 해놓있다는점이 가장 좋다 	1
4	랭킹별 뉴스가 잘 정리되어 있는게 가장 큰 장점이며 단점은 디자인이 자주 바뀌어서 적응하기가 힘들 때가 있다 	1
4	요일마다 웹툰이 올라와서 자신이 좋아하는 것을 골라 볼 수 있는 매력이 있다 그래서 그 요일이 오면 가장 먼저들어가는 앱이다	1
4	친구들과 단체 통화할 때 종종 쓴다 아주 좋은 것 같다 하지만 사용시 과도한 발열이 나는 것은 핸드폰 성능 때문인지 알 수는 없지만 불편하다	1
4	페이스북은 내가 좋아하는 사이트나 친구들의 정보상황을 바로바로 간단하거나 길게 알수있고 다양한 정보들을 포함하고있는 어플이다 그리고 빠르고 신속한 뉴스피드의 소식들을 바로바로 접할수있어서 매우 좋다	1
1	이 앱도 지워지지 않아서 자리차지하는 짜증나는 어플 개인적으로 앱자체가 지워질 수 있었으면 좋겠음	0
5	참 좋은 어플이다 다른 유해프로그램 차단어플보다 나름 성능도 좋고 괜찮은 기본어플중에 하나이다	1
5	컴퓨터로도 자주쓰는 스카이프 핸드폰으로는 잘 쓰지는 않지만 그래도 매우 좋은 어플이라고 생각한다	1
5	지하철 도착 알림기능이 가장 좋다 사람이 많아서 어느 역인지 볼 수 없는 경우나 잠들어서 역을 놓친 경험이 있는데 알림기능이 도와주는 것같다 다른 지하철 어플보다 새로운 노선에 대한 업데이트가 빨라 쓰게되는것 같다	1
5	스트리밍 재생 다운로드 추천음악까지 다양한 측면에서 음악을 듣는 사람들을 배려한 음악앱이라고 생각한다 	1
5	다른 카메라 어플보다 기능도 많고 다양한거 같다 많은 사람들이 사용해서 그런지 편리한점이 많다	1
5	핸드폰 번호가 없어도 인증이 가능해서 핸드폰을 잃어버렸을 떄 공기계로 사용하기 제격이다 스티커도 귀엽다 	1
5	유용합니다 하지만 네이버 메일 블로그 카페 등과 같은 앱들이 따로 존재하여 네이버 앱 자체에는 자주 접속하지 않게 됩니다	1
2	제품들이나 쿠폰을 싼가격에 사용하고 싶어서 다운받았지만 왜인지는 모르겟는데 결제가 안돼서 어플을 삭제하게 되었다	0
5	금융관련어플 사용시에 작동되는 것으로 알고 있습니다 이 어플로 인해 보다 안전하게 사용하고 있는 느낌이 듭니다	1
2	과도한 과금을 유발하는 악마의 게임 과금하지 않으면 의미가 없어서 더 이상 사용하지 않는다 	0
4	국내 음원 어플 중에서 인터페이스가 가장 깔끔하다	1
2	핸드폰 게임은 개인적으로 잘 안해서 그런지 몰라도 처음 한 두 판은 재밌게 하다가 금방 질린다	0
4	장점  스마트폰 사용자 중 쓰지않는 사람이 거의 없을 정도로 많이 사용하고 있다 따라서 일일이 전화번호를 묻지 않아도 톡방 이나 혹은 카카오아이디를 통해서 쉽게 접근하고 연락가능하다   단점  보안문제  프라이버시가 어디로 유출될 지 알 수가 없다 	1
5	카카오톡은 친구들과 대화하기 편리하지만 생각보다 오류도 많고 보안에 취약했던 사건때문에 신뢰도가 떨어진 상태 이다	1
4	뭔가 자꾸 가 바뀌는데 너무 잦다는 느낌이 든다 진짜로 잦은 건지는 모르겠다 가끔 쓰니까 적응이 잘 안돼서 그런것 같기도하다 쓸때마다 헤맨다	1
4	나에겐 아주 유용한 앱이다 보고 싶은 영화나 신작 영화의 정보를 볼 수 있어서 많이 애용한다	1
5	티비가 없는 집에서 스포츠 채널을 볼 수 있어서 좋고 다양한 컨텐츠를 혼자 라디오 처럼 듣고 있으면 재미있다	1
4	실시간 계좌이체 등을 할 때 편리하게 이용 중이지만 최근 국민은행 개인정보 유출 사건 등으로 인해 개인정보에 관해서는 불안합니다	1
4	나름 효율성 있다고 생각한다 실제로도 사용하면 스마트폰의 처리 속도가 빨라지는 것이 느껴진다	1
4	나름 잘 쓰고 있다고 생각한다 심심할 때 좋은 킬링타임용으로 쓸 수 있다 하지만 버그가 많은 것이 단점이라고 생각한다	1
5	이거 엄청 좋다 하루에 두번씩은 스팸 전화가 온다 도대체 내 정보가 얼마나 털린건지 모르겠다 아무튼 이거 때문에 다 거절하고 있다 그리고 언젠가는 보이스피싱이라고 뜬걸 받았는데 아니나다를까 보이스피싱이어서 보이스피싱이세요하니까 네 죄송합니다 했다	1
2	굳이 어플을 따로 만들어서 메세지를 주고 받아야됬었나 생각이든다 페이스북 어플 내에서 대화가능하도록 하는 것이 더 좋을 것 같음	0
4	카카오톡은 빠르고 좋다 특히 그룹채팅이 좋다 사진을 무한대로 보낼수도 있어서 좋다 해외에 있을 때도 무료로 연락할 수 있어서 좋다	1
5	노트북안겨왔고 유에스비 까먹었을때 항상 쓰던 어플이다 저장공간이 얼만큼인지는 모르나 용량이 크고 용이하다	1
4	물건을 찾을때나 어두운 골목길에서 자주 사용한다 등산할 때도 긴급할 때도 도움이 많이 되는 앱이다	1
5	아이폰에서 편리하다 사파리보다는 쓸만한듯아이폰에서 편리하다 사파리보다는 쓸만한듯아이폰에서 편리하다 사파리보다는 쓸만한듯	1
2	기프티콘을 받았는데 그게 이 어플을 통해서만 볼 수있다고 하여 다운받은 적이 있다 하지만 그 이후로는 카카오톡이나  어플을 이용하기 때문에 이용하지 않게 되어 지웠다	0
4	스마트폰 내에 검색기능이 간편화되어있고  정보와 데이터의 새로운 데이터들이가장 빠르며 많은지식정보기능이 보편화되어있음	1
4	이제 방송을 이동하면서도 볼 수 있으니 더 사용성이 높아진 것으로 생각한다 스마트폰이 나옴으로 써 유저가 더 많아졌을것이다	1
4	인터넷 뱅킹을 할 때 자동으로 작동되며  보안을 해주어 안전하게 뱅킹 업무를 볼 수 있어 좋다	1
5	멜론은 불편함이 없는 앱이다 아주 좋다 하지만 지금은 지니로 갈아탔다 멜론이 그립다	1
4	사람들이 배달을 할때 무엇에 고민하고 어떤 기능이 도움을 주는지 잘 캐치ㅘㄴ 앱이라고 생각한다	1
4	안드로이드 폰을 사용할 때 이용했었다 매일 아침에 날씨를 꼭 확인하는 편인데 위젯으로 바로바로 확인할 수 있어서 가장 좋았다 실시간 날씨 데이터 업데이트도 쉬웠다	1
5	컴퓨터에서나 휴대폰에서 저장한 문서를 바로바로 다운 받을 수 있어서 편리하고 그룹끼리 연동 할 수 있어서 좋다	1
5	예전에 플래쉬를 켤 때는 카메라에서 눌러서 켰는데 앱을 설치하고 난 뒤에는 바로바로 켤 수 있어서 편리하다	1
5	길찾기 기능이 아주 훌륭해 자주 애용하지만 다음 맵이 더 가볍고 정확할 때 가 많아 길찾기 서브 앱으로 활용중 입니다 	1
5	바쁜 현대인의 생활에 꼭필요한 유용한 앱으로 비교적 사용 방법이 간단하고 심플한 디자인이 맘에든다	1
5	다양한  들이 있어 취향에 맞게 원하는 방송을 시청할 수 있다 요즘 인기가 올라가서 계속 발전하고 있다	1
4	무음촬영인게 가장 마음에 들고 그 다음은 간단한 편집으로 여러가지 효과를 줄 수있다는 점이 좋다아이폰은 자체내에서도 바꿀수있는 화질이 있지만 안드로이드는 없어서 더할나위 없이 좋은 점이다	1
5	노래를 찾고 듣고 어릴적부터 이용해와서 불편함 없이 쓰고있다 좀 더 다양한 노래도 찾을 수 있었으면 좋겠다	1
2	네이버 웹사이트를 자유 애용하지만 어플리케이션은 느리고 복잡하여 사용하기에 그렇게 좋지 않은 것 같습니다 현재는 삭제하였습니다	0
2	티몬이나 쿠팡과같은 것들에 이용이 더 크고 쉬우며 쥐마켓을 잘 이용하는 고객이아니라면 굳이 쥐마켓을 쓰지는 않은것같음	0
5	네이버는 우리나라 현 포털서비스 중 위인게 과언이 아닐정도로 실용성이 매우좋다 메일카폐블로그지식 쇼핑뉴스증권사전웹툰뮤직 등 다양한 서비스를 제공하며 빠르고 유용한 서비스가 많아서 너무 좋은 어플이다	1
5	사용자는 더 좋은것같다 할인도 받을수있고  메뉴정리도 잘되있고 이용하기 편하게되어있다	1
5	이거 말이필요없다 만점이거 말이필요없다 만점이거 말이필요없다 만점이거 말이필요없다 만점이거 말이필요없다 만점	1
4	이모티콘 무료로많이줘서좋응ㅇ 근데 애들이 거의안써서  나도 한때 쓰다가말았다	1
5	오오오 개꿀 이거슨 매일매일 들어가서 보아야만한다능 최고의 어프으을 다음웹툰보다 조으다이거슨	1
4	필터가 굉장히 많고 칸나누어 찍기 타이머 짧은 영상 등 다채롭다 또한 디자인을 잘했다 생각하는게 화면 터치로 사진찍기나 슬라이드로 여러기능을 할수있다는점등	1
2	이용자들이 타 에 비해 대중적이지않고 카카오톡과연계된 다른 다양한 어플들이 많아서 사용하지않게됨	0
2	가족들과 설에 즐기기위해서 다운받았지만 너무 현금결제를 해야 이길수있는 게임이 되어버려서 지웠다	0
4	나름 편리한 어플이긴 한데 연락처가 있는 사람들이라면 카카오톡을 주로 씀 페북 메시지는 페북 하는데 어쩌다 눈에 띄는 사람이 있어서 하거나 연락처가 없어서 하는 경우	1
5	사람들과 대화하기에 이만한것이 없음 최고의 앱  국내 스마트폰 보급률 최고 공신 글자 남았다	1
5	요즘 시간만나면 틈틈히 보는거라 괸장이 유용한 앱이라 생각되고 유용한 정보도 많이얻을 수 있어서 최근애 친구들에게 추천한다	1
5	트윗의 후발주자이지만  많이들 사용하고 있고 최근에는 사용자가 급격히 늘어나고 있어 트윗을  능가하는듯	1
4	와 모바일이 연결되어 같이 쓸 수 있는 점이 좋다 하지만 모바일 화면으로 보면 화면에 보이는 것들이 생략되기도 해서 불편하기도 하다 	1
5	은행 거래 할 때 매우 유용하게 사용하고 있습니다 안전하고 편리하게 사용하고 있는 앱입니다	1
5	심심할 때마다 볼 수 있고 다양한 정보를 얻을 수 있다는 점이 무료함을 없애려는 목적과 아주 잘맞는다 	1
5	영화보러 갈 때 미리 예매도 가능하고 영화 정보도 쉽게 알 수 있어 편리하다고 생각합니다	1
2	페이스북 자체를 잘 하지 않는데다가 페이스북 앱이 스마트폰의 성능을 떨어트린다는 말을 듣고 바로 삭제함	0
4	모르는 번호는 주로 광고인데 안 받아도 알 수 있어 좋다 받을 연락과 안 받을 연락을 구분할 수 있어 좋더	1
1	한 번 사용해보려고 했던 적이 있는데 호환이 잘 되지 않았던건지 광고를 봐도 제대로 적립금이 올라가지 않아서 바로 삭제했던 기억이 있다 이런 앱은 적립금이 쌓이는 것이 눈으로 확실히 보여야 하는데 그게 제대로 되지 않아서 사용하지 않는다 	0
4	일정 관리하기에 좋은 어플리케이션 같다 네이버 캘린더 보다 디자인이 더 예뻐서 좋다	1
4	쇼핑몰들이 무척이나 많아서 쇼핑하기 곤란할때 무엇이 더 유리한지 가늠할 수 있게 판단에 도움을 주는 좋은 앱인것 같다	1
2	음딱히그냥 인터넷앱이있긴하지만 네이버만사용해서 네이버앱을 사용중이다 너무 오류 자주일어남자꾸튕겨서 짱난다ㅠㅠ	0
2	개인적으로 포인트 적립할 경우가 적어서 그런지 많이 사용하지 않게 됩니다 하지만 자주 쇼핑하거나 구매하는 경우가 많으신 분들께는 편리한 어플이라 생각합니다	0
4	티켓팅을 현장에서 하지않고 스마트폰으로 할수있어 정말 간편하다 자리 현황을 미리 볼수도있어서 영화보기 수월한것같다	1
4	굳이 따로 연락하지않아도 아는 사람들의 소식을 볼수가있고 여러가지 정보들을 얻을수있고 공유할수있어서 좋은것같다 그러나 원치않는 내용이 들어있는 동영상 사진들이 뜰때면 불쾌하기도하다 	1
4	필름이 여러개여서 맘에드나 그냥 카메라보다는 화질이 훨씬떨어져서 그게 좀 아쉽다 그래도 사진이 잘나와서 자주이용한다	1
5	외국에 사시는 이모랑 영상통화할때 굉장히 자주이용한다 외국에서도 집에잇는 부모님이랑 연락할때도 자주이용한다 또한 화질또한 좋아서 맘에등다	1
4	다음 웹툰앱도 네이버웹툰과 마찬가지로 요일마다 웹툰 서비스를 제공한다 그래서 그 요일 마다 원하는 웹툰을 본다	1
1	관심병자들 천지같다 뭔 서로 모르는사람들끼리 소통이니 뭐니 뭘 소통하자는건지 모르겠다 그냥 관심병있는 사람들이 모인 곳같다 인스타 빠져있는사람치고 정상적인사람은 본적없다	0
5	이번에 업데이트 되어 웹툰을 보기 더 편하게 만들어놨고 웹툰의 종류도 많이 있어서 참 좋습니다	1
4	바보 양산기  시간 잘감 시간 잘보내다가 시간놓치고 여친한테 맨날 혼나게 되는 앱 병맛쩔	1
1	지금은 만렙초딩들과 만렙 어르신들이쓰는 망한어플 젊은이들은 거의 쓰지않음 카스 초창기때에 잠깐썻지이거	0
4	시간낭비시스템이란 말장난이 있듯이 시간을 굉장히 빨리 쓰게된다 그러나 다른 포털사이트보다 정보를 빠르게 공유받는 경우도 많고 친구들끼리 화제의 대상이 올라오면 경우가 많고 재밋는 게시글도 많아서 잘 사용중이다	1
5	웹툰을 바로 볼 수 있어사 편리하다 요일마다 분류도 잘 되있고 재밌는 웹툰도 많아서 좋다	1
5	처음 가는 길을 찾거나 소요 시간 예측 등 다양한 기능을 제공하여 편리하고 유용하게 사용하고 있다 	1
4	스팸 차단 같은 건 매우 훌륭한 어플이다	1
5	대중교통 길찾기를 자주 사용하는데 복잡한 서울 시내 버스를 빠르고 쉽게 알려주기때문에 매우 편리합니다	1
1	이 앱은 사용해 보지는 않았는데 사용해 보고 싶어진다 사용해 보지 않아서 의견을 내기 어렵다	0
2	딱히 유행도 지났고 페이스북 트위터 등에 밀려서 굳이 사용할 필요성을 느끼지 못하고 사람들도 잘 쓰지 않는다	0
5	계좌조회 및 이체를 쉽고 빠르게 할 수 있어서 아주 유용하다 알리미나 우리카드 같은 다른 어플과 통합이 되는 것도 좋을 것 같다	1
5	네이버 웹툰이 생기기전에는 네이버에서 웹툰으로 들어가 불편하게봤지만 이제는 임시저장도 되고 몇화까지 봤는지 알수있는 네이버 웹툰이 생겨서 매우 좋은거같다	1
5	자신의 일상을 다른사람과 공유할수있는점이 매력적이며 전세계의 사용자의 일상을 구경할수있고 한가지를 보더라도 여러가지의 시선으로 볼수있다는점이 좋은것같다 	1
1	무슨 도움이 되는 지 모르겠다 은행어플을 통해 자동으로 깔려서 있는데 폰이 무거워 지는 것 같아 싫다	0
5	네이버 지도에 비해 좀 더 정확한 정보를 제공해서 편리하다 버스의 막차 시간도 알려준다면 좀 더 좋을것 같다	1
4	여행가서 낯선 지역에 도착했을때 많은 도움을 받았던 경험이 있다 간혹 인터넷이 잘 안될땐 난감하기도 하다	1
4	광고가 참신해서 들어가보는데 이것저것 쓸만한 걸 많이 얻을 수 있어서 괜찮은 것 같다 디자인도 최근에 나온 어플이라 그런지 깔끔한 편이라 만족한다	1
4	무겁지 않은 캘린더로 사용하기 편하고 다른 켈린더 어플과의 호환도 좋은편이어서 사용하고 있습니다	1
1	가끔씩 시간이 남을 때는 한다 최근에는 잘 하지 않는다 다소 재미가 떨어져서 지금은 거의 하지 않게 됬다	0
5	지하철종결자 지하철 앱중 가장 인기많은 앱이라고 생각합니다 다른 지하철 앱보다 더욱 간단하게 편리하며 알람까지 사용할수있다는게 장점인것같습니다	1
1	추가 설치가 필요하여 실제로 사용하지 않는다 사용 연령층도 대이상의 주부라고 생각되는 편이고 카톡 이벤트가 아니면 절대로 설치하지 않을지도	0
1	개인적으로 게임을 하지 않아서 몇 번 해본 정도 입니다 게임으로 시간을 보내는걸 개인적으로 좋아하지 않기때문에 이앱은 조금 별로라고 생각합니다 게임자체에 있는 사행성도 조금 우려되는 점입니다	0
5	와이파이 등으로 데이터 문제만 해결하면 공짜로 전화할 수 있다는 점에서 편리하며 그룹콜 기능도 좋다	1
4	음성이나 영상 통화를 컴퓨터가 아닌 스마트폰으로 사용할 수 있어 편하고 무료라서 전화비용이 들지 않아 좋습니다	1
1	다운로드한지 얼마 되지 않고 어떻게 사용해야 될 지도 잘 모르겠다 이것도 그다지 큰 필요는 없는 것 같다	0
4	보안을 잘 모르는 유저에게는 피해방지용으로 큰역할을 할것으로 생각한다 요즘은 스미싱 피싱 앱이 많을 텐데 사용하기 쉽고 보안에 약한 안드로이드가 문제라고 생각한다	1
5	많은 용량을 보유하고 있어서 사진 동영상 문서 등 개인 파일을 보관하는데 편리하고 공유하는 것도 쉽게 할 수 있다 	1
4	처음 사용하기에 조금 복잡하게 구성된 거 같고 중간중간에 광고가 나오면서 보기 불편하게 만드는 경우가 있다	1
4	물건을 사는거 뿐만 아니라 지역의 음식점 숙소 등 여러가지의 상품을 내놓아 소비자의 선택의 폭도 넓혀주고 핸드폰은 알림서비스로 당일 할인행사를 알려줘 편하게 쓰는 앱이다	1
5	문자 메세지로 주고  받으며 더 집중할 수 있고 영상이나 사진등도 첨부해서 같이 볼 수 있어서 잘 이용하고 있다	1
4	고화질 사진을 올릴 수 있고 본연의 목적에 충실한 어플인 것 같다 이상	1
5	심심할때 유용한 정보나 재미있는 일상의 내용 알고싶었던 내용들을 하나의 주제로 묶어서 이야기를 전해준다는게 좋다	1
5	제일 유용한 앱 이거는 정말 최고 지하철 시간을 알수있고 환승칸을 알 수있어 시간절약에 좋다	1
4	실제 사용량이랑 조금 차이가 날 때는 있지만 전반적으로 정확해서 최근 사용량이나 한달 사용량을 측정해서 아끼면서 사용할 수 있게 되었다	1
4	웹툰이 단순한 오락이라기보다 작품에 가까움을 느끼게 해주는 앱입니다 사용하면서 로딩이 걸리거나하는 불편함이 있지만 그 외에는 정말 만족하며 사용하는 앱중에 하나 입니다 다양한 작가들의 작품을 편하게 감상해 볼 수 있어서 좋습니다	1
1	예전에 사용하다 지금은 사용하지 않는다 스팸을 차단하는 것 뿐만리 아니라 다른 필요한 메세지까지 차단해버리는 치명적인 단점이 있다	0
4	편리한 뱅킹과 거래를 할 수 있으며 어렵지 않게 쓸 수 있다 하지만 입출금 메세지 어플이 따로 있다는 점이 아쉽다	1
4	스마트폰을 자주 손에 쥐고있는 이유중 하나인것같다 심심할때마다 자주 이 앱에 접속하곤한다	1
5	돈 있으면 무조건 멜론 쓴다 음원관련 어플 위라는 명성이 괜히 있는 게 아니다 싶었다 편리한 디자인이 마음에 든다	1
5	지인들의 소식을 듣고 소식을 전할 수 있다는 점이 좋다 나눔의 공간이 되어서 좋은거 같다	1
4	가장 대중적으로 사람들과 연결할 수 있는 대화 프로그램이라서 애용합니다 사용하지 않는 사람들도 있지만 달리 다른 대화 프로그램을 사용하고 있지 않기 때문에 저는 카카오톡을 애용하고 있습니다	1
2	와이파이 존에서도 연결이 원할하지않고  영상통화시 끈김현상 있어 자주 사용하지 않고 있다	0
5	유로로 진행되는 앱이지만 그래도 어디서나 듣고싶은 음악을 바로 들을수있고 원하는 음악의 정보를 얻을 수 있기에 좋다고 생각한다 	1
5	멤버쉽 카드를 가지고 다니지 않아도 되고 쿠폰 발행이 많아서 쇼핑할 때 매우 잘 사용하고 있다	1
4	자주 사용하지는 않지만 교통 정보 및 검색하고 싶은 장소가 있을 때 자주 애용한다 특히 사진 형태로 주위의 모습을 관찰할 수 있어 많이 애용한다	1
5	국민은행 앱은 자주 사용하는데 은행에 직접 방문하지 않아도 되고 스마트폰으로 간편하게 할수 있으니까 무척 편리하다	1
2	뉴스볼때빼고 전혀 안씀 네이트판다음아고라처럼 진흙판되는 곳 진절머리 남 싸이월드나 되살리지 ㅠ	0
4	한국인들은 많이 사용하지않기때문에 사용빈도가 떨어지지만  외국친구들과 연락하기에는 카카오보다 용이하다	1
2	블로그에서 라인 이모티콘 받고 싶어서 다운받았으나 실제로 사용한적은 한 번도 없다 카카오톡때문에	0
4	리뷰를 볼 때 사용한다 바로결제를 한번 이용했었는데 오류가 나서 몇번 시도해서 겨우 결제한 적이 있다 그래서 그냥 전화주문한다	1
4	주변 지인들과 의사소통 할 수 있다는 점에서는 편리하나 원치 않는 사람들에게 정보를 제공하는 것은 단점이라고 생각합니다	1
1	카카오스토리는 사용하지 않고 지금 카카오톡 배경설정이 따로 없었을 때 카카오톡 프로필 배경 설정용으로만 사용했었기에 잘 모르겠습니다	0
2	캐쉬를 충전하면 좋은 것들이 게임상에 너무많기때문에 무료어플이지만 분리한점이많음     	0
5	여행 갈때나 장소 찾을 때 반드시 사용합니다 눈에 익어서 편리합니다 활용 많이 하는 앱 중 하나	1
2	이용을 잘안함 타지도에서 위치를 모를경우 비교가 가능하고 지도앱으로서는 다양한 기능이 많음	0
4	도보로 길 찾는 기능이나 그것을 바탕으로 로드뷰 해주는 것이 정말 사용하기 편리하고 길찾기를 쉽게 도와주는 것 같다	1
4	처음 나왔을 때 친구들이랑 많이 했다 진행도 빠르고 재밌었지만 캐쉬 아이템을 사용한 사람들이랑 격차가 심해져서 안하게 되었다	1
5	모임 앱 중에 가장 보편적으로 많이 쓰이는 것 같음 사용빈도가 낮아 단점을 딱히 집을 것이 없다 	1
5	엄청 편하다 사진이나 음성 뿐아니라 피피티같은 자료도 보낼수 있어서 메일로만 보냈던것을 카톡으로 빠르고 편리하게 전송가능하다	1
4	어플은 에 영화를 보러 가려고 할때만 사용  인터페이스는 롯데시네마가 더 좋다	1
4	씨지브이보다 롯데시네마를 많이 사용하지만 어쨌든 영화 예매를 편리하게 할 수 있도록 도와주는 앱이다 	1
5	작년까지만해도 이 앱을 설치하지않고 네이버 앱을 통해 지도 이용을 했었는데 최근 설치한 이후부터 아주 유용하게 사용하고 있다 특히 길찾기 기능을 만족하게 사용하고있다	1
5	피씨카톡이 가능해지면서 파일도 쉽게 올릴 수 있어서 편하다 또한 데이터도 많이 안들어가서 좋다	1
4	스마트폰 게임의 활성화를 이끈 게임 중 하나라고 생각합니다 많은 맛폰 사용자들이 나이를 불문하고 그들의 생활 속에 게임을 자연스럽게 녹아들도록 한 것에 높은 점수를 드립니다	1
4	예전에는 집에서 영화를 예매하거나 전화로 했는데 집에서 편리하게 할 수 있고 어디서나 원하는 시간 장소를 알아 볼 수 있어서 편리하다 	1
2	원터치 개인이랑 원터치 센터 따로 깔리는게 좀 짜증난다 자꾸 잘못 눌러 들어갈 때가 많기 때문이다 그리고 과거 버전 앱은 왜 남겨져 있는지 모르겠다	0
4	네이버 웹툰보다 디자인도 더 낫고 최근 본 작품같은 기능이 있어서 그런 점이 좋고 보기에도 편리한 것 같다	1
4	열차 시간과 도착지까지 걸리는 시간을 알려주어 편리하다 추가 되었으면 하는 기능은 실시간으로 그 역에 사람이 얼마나 있는지 알려주면 좋을 것 같다 	1
4	슬라이드하는 순간에 광고를 넣어 다른 회사들에게 홍보효과를 줄 수 있고 사용자는 광고에 노출되는 되신 현금을 모을 수 있게 괴어 윈윈하게 만들어주는 앱이다	1
4	페이스북 버전써서 나오자마자 쓰게됐고 기준의 기능 다 있어서좋습니다 조금 무거워서 느립니다	1
4	실시간으로 언제 오는지 확인할 수 있게 업데이트 되고 나선 무척 좋다 내가 이용하는 지하철은 대부분 시간에 맞게 오는데 가끔 호선은 시간이 너무 다르게 와서 실시간 위치로 확인한다	1
5	버스나 지하철 시간을 알아보고 싶을때나 직접 처음가는 길을 걸어갈일이 있을때 자주사용하는데 사용하기 편하고 거의 정확해서 잘 사용한다	1
4	라인 이모티콘도 훌륭하다 라인또한 카카오톡과 비슷한 기능들을 많이 한다고 생각한다 국외에서도 많이 쓰인다고 생각한다	1
